date,cash,stock_market_value,stock_position,future_margin,future_position,net_value,PnL,
20160704,7155402.070798,3852561.100000,443382,0.000000,0,11007963.170798,63176.186980,
20160705,7020635.057198,4001349.970000,457252,0.000000,0,11021985.027198,14021.856400,
20160706,6478763.377502,4540817.250000,530118,0.000000,0,11019580.627502,-2404.399696,
20160707,6892474.065424,4153732.940000,502285,0.000000,0,11046207.005424,26626.377922,
20160708,7039069.198360,3992285.770000,488191,0.000000,0,11031354.968360,-14852.037064,
20160711,7167029.524434,3878282.040000,472420,0.000000,0,11045311.564434,13956.596074,
20160712,7596119.938928,3526002.450000,412563,0.000000,0,11122122.388928,76810.824494,
20160713,9295572.578022,1851119.710000,244506,0.000000,0,11146692.288022,24569.899094,
20160714,9438717.682208,1701138.890000,223753,0.000000,0,11139856.572208,-6835.715814,
20160715,9438717.682208,1698246.050000,223753,0.000000,0,11136963.732208,-2892.840000,
20160718,10171205.107304,963712.450000,129655,0.000000,0,11134917.557304,-2046.174904,
20160719,10441051.358174,688437.600000,86446,0.000000,0,11129488.958174,-5428.599130,
20160720,10441051.358174,684549.060000,86446,0.000000,0,11125600.418174,-3888.540000,
20160721,10573540.407846,553876.490000,79898,0.000000,0,11127416.897846,1816.479672,
20160722,10709545.557126,410817.140000,59254,0.000000,0,11120362.697126,-7054.200720,
20160725,11123605.056056,0.000000,0,0.000000,0,11123605.056056,3242.358930,
20160726,11123605.056056,0.000000,0,0.000000,0,11123605.056056,0.000000,
20160727,9869521.271174,1252153.860000,358640,0.000000,0,11121675.131174,-1929.924882,
20160728,9869521.271174,1252004.690000,358640,0.000000,0,11121525.961174,-149.170000,
20160729,9869521.271174,1248266.230000,358640,0.000000,0,11117787.501174,-3738.460000,
20160801,9869521.271174,1245102.470000,358640,0.000000,0,11114623.741174,-3163.760000,
20160802,9869521.271174,1249099.340000,358640,0.000000,0,11118620.611174,3996.870000,
20160803,9869521.271174,1247158.270000,358640,0.000000,0,11116679.541174,-1941.070000,
20160804,9869521.271174,1250510.210000,358640,0.000000,0,11120031.481174,3351.940000,
20160805,9869521.271174,1249516.580000,358640,0.000000,0,11119037.851174,-993.630000,
20160808,9869521.271174,1266646.950000,358640,0.000000,0,11136168.221174,17130.370000,
20160809,9869521.271174,1270452.730000,358640,0.000000,0,11139974.001174,3805.780000,
20160810,9869521.271174,1270541.710000,358640,0.000000,0,11140062.981174,88.980000,
20160811,9869521.271174,1265325.190000,358640,0.000000,0,11134846.461174,-5216.520000,
20160812,9869521.271174,1308214.160000,358640,0.000000,0,11177735.431174,42888.970000,
20160815,11050118.444230,143472.100000,19258,0.000000,0,11193590.544230,15855.113056,
20160816,10489461.074230,702544.360000,168498,0.000000,0,11192005.434230,-1585.110000,
20160817,10489461.074230,699559.560000,168498,0.000000,0,11189020.634230,-2984.800000,
20160818,10489461.074230,714098.400000,168498,0.000000,0,11203559.474230,14538.840000,
20160819,10489461.074230,708321.380000,168498,0.000000,0,11197782.454230,-5777.020000,
20160822,10489461.074230,701051.960000,168498,0.000000,0,11190513.034230,-7269.420000,
20160823,10489461.074230,697874.580000,168498,0.000000,0,11187335.654230,-3177.380000,
20160824,9929003.262790,1256674.520000,272100,0.000000,0,11185677.782790,-1657.871440,
20160825,9929003.262790,1243260.200000,272100,0.000000,0,11172263.462790,-13414.320000,
20160826,9929003.262790,1246439.480000,272100,0.000000,0,11175442.742790,3179.280000,
20160829,10071448.179586,1104509.920000,252842,0.000000,0,11175958.099586,515.356796,
20160830,10071448.179586,1102314.620000,252842,0.000000,0,11173762.799586,-2195.300000,
20160831,10071448.179586,1096801.400000,252842,0.000000,0,11168249.579586,-5513.220000,
20160901,9512119.116242,1648849.780000,453678,0.000000,0,11160968.896242,-7280.683344,
20160902,10052885.182082,1102298.260000,304438,0.000000,0,11155183.442082,-5785.454160,
20160905,10052885.182082,1107478.360000,304438,0.000000,0,11160363.542082,5180.100000,
20160906,10052885.182082,1125935.680000,304438,0.000000,0,11178820.862082,18457.320000,
20160907,10052885.182082,1142512.000000,304438,0.000000,0,11195397.182082,16576.320000,
20160908,10052885.182082,1136359.560000,304438,0.000000,0,11189244.742082,-6152.440000,
20160909,10052885.182082,1135323.540000,304438,0.000000,0,11188208.722082,-1036.020000,
20160912,10619895.682754,546273.920000,200836,0.000000,0,11166169.602754,-22039.119328,
20160913,10619895.682754,548282.280000,200836,0.000000,0,11168177.962754,2008.360000,
20160914,10060685.092278,1102471.380000,341442,0.000000,0,11163156.472278,-5021.490476,
20160919,10060685.092278,1108697.920000,341442,0.000000,0,11169383.012278,6226.540000,
20160920,10060685.092278,1107894.160000,341442,0.000000,0,11168579.252278,-803.760000,
20160921,9501042.715984,1672757.530000,452503,0.000000,0,11173800.245984,5220.993706,
